"Folha Salarial - Janeiro / 2025","","","",""
"","","","",""
"","","","",""
"Vínculo: 0000019 / Matrícula: 146","Nome: MARIA DA SILVA SANTOS","CPF : ***.180796-**","Situação: Ativo",""
"","","","",""
"Outras Informações","","","",""
"Forma de Admissão: Efetivo","Cargo: ENCARREGADO DO DEPARTAMENTO DE FAZENDA","Função: ENCARREGADO DEPTO DE FAZENDA","",""
"Secretaria: FAZENDA","Salário base: 3319.15","Competência: 01/2025","Carga horária semanal/plantões: 40",""
"Lotação: ENCARREGADO DEPARTAMENTO DE FAZENDA","Sigla do Cargo: EFETIVO","Data de Admissão: 18/01/1991","",""
"","","","",""
"Proventos e Descontos","","","",""
"Cód","Descrição","Referência","Proventos","Descontos"
"001","VENCIMENTO"," 30","3319.15",""
"025","I.R.R.F."," 2750","","817.9"
"020","I.N.S.S."," 1400","","793.15"
"113","GRATIFICACAO 05 ANOS DE SERVICO","","331.92",""
"141","ADIC T SERVICO","","553.19",""
"247","GRATIFICAÇÃO PREGOEIRO -LEI 1299/13","","829.79",""
"252","6ºQUINQUENIO","","1991.49",""
" Remuneração Bruta: 7025.54
   Total da Remuneração Após Deduções: 5414.49 ","","","",""
"","","","",""
"","","","",""
"","","","",""
"Folha Salarial - Janeiro / 2025","","","",""
"","","","",""
"","","","",""
"Vínculo: 0000027 / Matrícula: 210","Nome: JOAO PEDRO OLIVEIRA COSTA","CPF : ***.442210-**","Situação: Ativo",""
"","","","",""
"Outras Informações","","","",""
"Forma de Admissão: Contratado","Cargo: MOTORISTA","Função: MOTORISTA","",""
"Secretaria: OBRAS E INFRAESTRUTURA","Salário base: 1804.30","Competência: 01/2025","Carga horária semanal/plantões: 44",""
"Lotação: GARAGEM MUNICIPAL","Sigla do Cargo: CONTRATADO","Data de Admissão: 03/02/2023","",""
"","","","",""
"Proventos e Descontos","","","",""
"Cód","Descrição","Referência","Proventos","Descontos"
"001","VENCIMENTO"," 30","1804.30",""
"020","I.N.S.S."," 800","","162.39"
" Remuneração Bruta: 1804.30
   Total da Remuneração Após Deduções: 1641.91 ","","","",""
"","","","",""
"","","","",""
"","","","",""
"Folha Salarial - Fevereiro / 2025","","","",""
"","","","",""
"","","","",""
"Vínculo: 0000031 / Matrícula: 305","Nome: ANA CLARA PEREIRA LIMA","CPF : ***.998877-**","Situação: Licença",""
"","","","",""
"Outras Informações","","","",""
"Forma de Admissão: Efetivo","Cargo: PROFESSOR PEB","Função: PROFESSOR","",""
"Secretaria: EDUCACAO","Salário base: 2650.00","Competência: 02/2025","Carga horária semanal/plantões: 24",""
"Lotação: ESCOLA MUNICIPAL CENTRO","Sigla do Cargo: EFETIVO","Data de Admissão: 12/03/2015","",""
"","","","",""
"Proventos e Descontos","","","",""
"Cód","Descrição","Referência","Proventos","Descontos"
"001","VENCIMENTO"," 30","2650.00",""
